category,year,sales,emp,Export,gdp,inputs,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share,avg_employment,TFP
medium domestic,1990,6.132868410796902e9,338169.0,5.415592635257066e8,1.2714747450670297e9,4.227119339029005e6,2817,639,539,3759.879660959549,18135.51334036207,0.08830439971160847,120.0457933972311,300.78988622996746
medium domestic,1991,5.782327134935935e9,363582.0,6.905158673693057e8,1.249069156254013e9,4.821363802033974e6,3188,801,433,3435.4537800386515,15903.777235770569,0.1194183330094409,114.04705144291091,259.06967562312394
medium domestic,1992,4.973426861331531e9,325238.0,6.210519310388616e8,1.332460960263656e9,4.914319891893872e6,2983,870,324,4096.879701214667,15291.653685398172,0.1248740452719934,109.03050620181025,271.13842598271606
medium domestic,1993,5.779955345282537e9,328721.0,5.667330595816839e8,1.568335756182216e9,5.021752870051418e6,3142,986,240,4771.023926619278,17583.164279989833,0.09805145986884448,104.62157861234883,312.3084302964032
medium domestic,1994,6.400165019036501e9,329909.0,5.911706364555241e8,1.7175312809083285e9,4.8804158485530475e6,3248,1072,137,5206.075860035126,19399.789090435548,0.09236803030814987,101.57296798029557,351.9231422497623
medium domestic,1995,6.02765511351529e9,317246.0,7.151941829889724e8,1.6633372567906222e9,4.553277293840026e6,3189,1119,114,5243.051943257353,18999.940467382694,0.1186521407612314,99.48134211351521,365.3055040247373
medium domestic,1996,6.177594459673054e9,309108.0,6.340638487331567e8,1.6592553303914762e9,4.319811979685453e6,3122,1168,84,5367.88219778031,19985.229950933182,0.10263928020401557,99.00960922485586,384.10359946089477
medium domestic,1997,6.543275732183445e9,310655.0,7.223852039125698e8,1.7119620958048744e9,4.414497034014937e6,3137,1198,77,5510.814555712524,21062.837334610565,0.11040115585523627,99.02932738284986,387.8045636034472
medium domestic,1998,7.434801063815145e9,323299.0,8.01597385523771e8,1.8596492190663948e9,4.697338730375152e6,3298,1294,73,5752.103220444216,22996.67200893026,0.10781692457450016,98.02880533656761,395.89421283184197
medium domestic,1999,7.813308377909578e9,316562.0,7.623601912457261e8,1.8485912458439202e9,4.642001400309927e6,3298,1284,105,5839.586702901549,24681.76337624092,0.09757200847225395,95.9860521528199,398.2315140448897
medium domestic,2000,8.316956289579841e9,312086.0,9.338559736075985e8,1.9747893723357651e9,4.619489381906324e6,3247,1324,81,6327.70894027853,26649.56547099146,0.1122833812145447,96.1151832460733,427.49083482487174
medium domestic,2001,8.846059621951845e9,307175.0,9.378420883685508e8,1.7097229007496452e9,4.704135939389626e6,3194,1362,105,5565.957192967023,28798.110594780974,0.10601806097273624,96.17251095804633,363.4509977557082
medium domestic,2002,9.348048065276752e9,300891.0,1.0260160839703609e9,1.8504530039519007e9,4.857737119194234e6,3127,1294,64,6149.911442854392,31067.888588481386,0.10975725379306608,96.22353693636073,380.9290125314234
medium domestic,2003,9.562494600459383e9,302486.0,1.0453371072976809e9,1.8560262233313918e9,4.976169811288895e6,3169,1278,60,6135.907854682173,31613.015479921,0.10931636052871212,95.45156200694225,372.9828952221098
medium domestic,2004,9.818906467751287e9,302079.0,9.382084497378522e8,1.8961110955787926e9,5.1177351094247615e6,3193,1305,66,6276.871598418932,32504.43250855335,0.09555121568977726,94.60663952395866,370.4980924250918
medium domestic,2005,9.835379379440342e9,293265.0,9.720584957917411e8,1.905673572368011e9,5.07471113702988e6,3121,1331,73,6498.128219760322,33537.515146506885,0.09883284195663164,93.96507529637937,375.523556102025
medium domestic,2006,1.0474290202060226e10,300180.0,1.1829506491316724e9,1.98090368280088e9,5.1217705210600775e6,3211,1394,62,6599.052844296355,34893.36465474124,0.11293850240076349,93.48489567113049,386.76150652506834
medium domestic,2007,1.007931117702084e10,297335.0,1.2534467675473168e9,1.9326273995965931e9,5.027047413736568e6,3224,1484,65,6499.831501829899,33898.83860635593,0.12435837583871484,92.22549627791564,384.44582685168774
