category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
medium,2003,2.054576942969001e10,471193.0,3.149664367740618e9,4.076359143844428e9,4698,1330,84,8651.145377466193,43603.723802539535,0.15329989847881495
medium,2004,2.1033978569249256e10,473544.0,3.2935376083809395e9,4.1277505288777285e9,4731,1320,93,8716.720154574292,44418.21365965836,0.1565817706592107
medium,2005,2.1764446619575737e10,467040.0,3.6235474055543976e9,4.260267385611378e9,4691,1342,108,9121.846920202506,46600.81924369591,0.16648929646091928
medium,2006,2.5859414608257e10,477811.0,4.495794497016037e9,4.443840217923892e9,4828,1448,86,9300.414218014846,54120.592887683626,0.17385523087519988
medium,2007,2.848720702341857e10,485935.0,5.08743397889061e9,4.94327508921254e9,4951,1561,95,10172.708467619208,58623.492902175334,0.17858661871303727
medium,2008,3.002273149685839e10,484869.0,5.306633224947947e9,4.898577712543091e9,4928,1629,71,10102.889053627043,61919.26375342286,0.17675384484930154
medium,2009,2.5263755995346756e10,446827.0,4.965525883538025e9,4.542503981224209e9,4510,1564,67,10166.135845023262,56540.35229595964,0.19654741299957965
medium,2010,2.3439414438011383e10,439682.0,5.369329869132029e9,4.323890233585449e9,4409,1558,65,9834.130652574928,53309.92498672082,0.2290726964759264
medium,2011,2.478887629601198e10,444603.0,6.717241492159072e9,4.434331023692513e9,4454,1672,84,9973.686690581291,55755.081040865625,0.2709780553158732
medium,2012,2.5510947943757393e10,441824.0,7.19871631067096e9,4.472815777355097e9,4422,1717,33,10123.52379534633,57740.068316246725,0.28218145113782445
medium,2013,2.6626504539720634e10,450840.35582733154,7.366463227728716e9,4.676885746011452e9,4492,1716,87,10373.706979777702,59059.71858011394,0.27665904162296795
medium,2014,2.7155992869396152e10,450807.6000061035,7.781012613674355e9,4.983843845011996e9,4494,1732,41,11055.367844163497,60238.54271540339,0.28653022009161305
medium,2015,2.8100405743892456e10,485744.0,8.022394994579946e9,5.33053422802113e9,4913,1839,48,10973.957944969221,57850.23745819291,0.28549036151634893
medium,2016,2.8409365847278458e10,493672.0,8.294379224410149e9,5.740654520161722e9,4953,1879,58,11628.479071451737,57547.0471229449,0.2919593231682336
medium,2017,3.0215585510069912e10,495659.0,9.210695554362595e9,6.208488080750271e9,4991,1874,39,12525.724501623637,60960.42946878784,0.3048326020785848
medium,2018,3.3601305989777176e10,516413.0,9.257963758141312e9,6.385578085068935e9,5173,1347,38,12365.254331453576,65066.73145288204,0.2755239263901809
medium,2019,3.4233918329043896e10,523825.0,8.644784827670492e9,6.666593886056656e9,5278,1396,33,12726.757764628752,65353.731358839104,0.25252104490581484
medium,2020,3.354898664264076e10,503307.0,8.076099245772103e9,6.653542417226055e9,5047,1410,30,13219.65006889643,66657.10320468573,0.2407255793385837
